experiment,split,instance_id,instance_type,n,seed,solver,status,route,cost,optimum_cost,best_known_cost,relative_gap,gap_to_best_known,exact_optimum_available,valid_route,finite_edges,runtime_s,rss_before_mb,rss_after_mb,rss_delta_mb,tau,tau_source,n_layers,exact_mode,time_limit_s,metadata_json
small_exact,evaluation,small_exact_euclidean_n5_seed5,euclidean,5,5,tn_exact,ok,"[4, 0, 1, 3, 2]",2746.08894113388,2746.08894113388,2746.08894113388,0.0,0.0,True,True,True,0.009933599998475984,221.3828125,224.5234375,3.140625,1.0,manual_default_tau,,True,,"{""exact_mode"": true, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""max_layers"": 3, ""n_layers"": null, ""n_layers_effective"": 3, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 5, ""tau"": 1.0, ""valid_route"": true}"
small_exact,evaluation,small_exact_euclidean_n5_seed5,euclidean,5,5,held_karp,ok,"[4, 2, 3, 1, 0]",2746.08894113388,2746.08894113388,2746.08894113388,0.0,0.0,True,True,True,4.059999992023222e-05,224.5234375,224.5234375,0.0,1.0,manual_default_tau,,,,"{""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""max_n"": 18, ""start"": 4}"
small_exact,evaluation,small_exact_euclidean_n5_seed5,euclidean,5,5,bruteforce,ok,"[4, 0, 1, 3, 2]",2746.08894113388,2746.08894113388,2746.08894113388,0.0,0.0,True,True,True,6.740000026184134e-05,224.5234375,224.5234375,0.0,1.0,manual_default_tau,,,,"{""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""max_n"": 10, ""permutations_checked"": 24, ""start"": 4}"
small_exact,evaluation,small_exact_euclidean_n5_seed5,euclidean,5,5,ortools,ok,"[4, 2, 3, 1, 0]",2746.08894113388,2746.08894113388,2746.08894113388,0.0,0.0,True,True,True,0.2213171000003058,224.5234375,238.8671875,14.34375,1.0,manual_default_tau,,,5.0,"{""finite_edges"": true, ""infinity_penalty"": 5097357660000, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""integer_scale"": 1000000, ""start"": 4, ""time_limit_s"": 5.0, ""valid_route"": true}"
small_exact,evaluation,small_exact_euclidean_n5_seed5,euclidean,5,5,networkx_christofides,ok,"[4, 0, 3, 1, 2]",2990.2590349258508,2746.08894113388,2746.08894113388,0.08891558104128677,0.08891558104128677,True,True,True,0.2667879000000539,238.8671875,247.7734375,8.90625,1.0,manual_default_tau,,,,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""requires_metric_symmetric_complete"": true, ""valid_route"": true}"
small_exact,evaluation,small_exact_euclidean_n5_seed5,euclidean,5,5,networkx_greedy,ok,"[4, 0, 3, 1, 2]",2990.2590349258508,2746.08894113388,2746.08894113388,0.08891558104128677,0.08891558104128677,True,True,True,0.00029180000274209306,247.7734375,247.77734375,0.00390625,1.0,manual_default_tau,,,,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""valid_route"": true}"
small_exact,evaluation,small_exact_euclidean_n5_seed5,euclidean,5,5,python_tsp_dynamic_programming,skipped_missing_dependency,,,2746.08894113388,2746.08894113388,nan,nan,True,,,0.0004980000012437813,247.77734375,247.77734375,0.0,1.0,manual_default_tau,,,,"{""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}}"
small_exact,evaluation,small_exact_random_symmetric_n5_seed5,random_symmetric,5,5,tn_exact,ok,"[4, 3, 1, 2, 0]",134.8477274354301,134.8477274354301,134.8477274354301,0.0,0.0,True,True,True,0.008445399998890935,247.78125,247.88671875,0.10546875,1.0,manual_default_tau,,True,,"{""exact_mode"": true, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_symmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 5, ""symmetric"": true}, ""max_layers"": 3, ""n_layers"": null, ""n_layers_effective"": 3, ""normalization_factor"": 88.97777468145182, ""normalize"": true, ""seed"": 5, ""tau"": 1.0, ""valid_route"": true}"
small_exact,evaluation,small_exact_random_symmetric_n5_seed5,random_symmetric,5,5,held_karp,ok,"[4, 3, 1, 2, 0]",134.8477274354301,134.8477274354301,134.8477274354301,0.0,0.0,True,True,True,3.809999907389283e-05,247.88671875,247.88671875,0.0,1.0,manual_default_tau,,,,"{""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_symmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 5, ""symmetric"": true}, ""max_n"": 18, ""start"": 4}"
small_exact,evaluation,small_exact_random_symmetric_n5_seed5,random_symmetric,5,5,bruteforce,ok,"[4, 0, 2, 1, 3]",134.8477274354301,134.8477274354301,134.8477274354301,0.0,0.0,True,True,True,6.709999797749333e-05,247.88671875,247.88671875,0.0,1.0,manual_default_tau,,,,"{""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_symmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 5, ""symmetric"": true}, ""max_n"": 10, ""permutations_checked"": 24, ""start"": 4}"
small_exact,evaluation,small_exact_random_symmetric_n5_seed5,random_symmetric,5,5,ortools,ok,"[4, 3, 1, 2, 0]",134.8477274354301,134.8477274354301,134.8477274354301,0.0,0.0,True,True,True,0.0014344000010169111,247.88671875,249.58984375,1.703125,1.0,manual_default_tau,,,5.0,"{""finite_edges"": true, ""infinity_penalty"": 444888875000, ""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_symmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 5, ""symmetric"": true}, ""integer_scale"": 1000000, ""start"": 4, ""time_limit_s"": 5.0, ""valid_route"": true}"
small_exact,evaluation,small_exact_random_symmetric_n5_seed5,random_symmetric,5,5,networkx_christofides,skipped_not_applicable,,,134.8477274354301,134.8477274354301,nan,nan,True,,,7.949999780976214e-05,249.58984375,249.58984375,0.0,1.0,manual_default_tau,,,,"{""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_symmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 5, ""symmetric"": true}, ""requires_metric_symmetric_complete"": true}"
small_exact,evaluation,small_exact_random_symmetric_n5_seed5,random_symmetric,5,5,networkx_greedy,ok,"[4, 0, 2, 1, 3]",134.8477274354301,134.8477274354301,134.8477274354301,0.0,0.0,True,True,True,9.359999967273325e-05,249.58984375,249.58984375,0.0,1.0,manual_default_tau,,,,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_symmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 5, ""symmetric"": true}, ""valid_route"": true}"
small_exact,evaluation,small_exact_random_symmetric_n5_seed5,random_symmetric,5,5,python_tsp_dynamic_programming,skipped_missing_dependency,,,134.8477274354301,134.8477274354301,nan,nan,True,,,0.0005830000009154901,249.58984375,249.58984375,0.0,1.0,manual_default_tau,,,,"{""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_symmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 5, ""symmetric"": true}}"
small_exact,evaluation,small_exact_random_asymmetric_n5_seed5,random_asymmetric,5,5,tn_exact,ok,"[4, 3, 1, 2, 0]",124.6112168423868,124.6112168423868,124.6112168423868,0.0,0.0,True,True,True,0.007180600001447601,249.58984375,249.671875,0.08203125,1.0,manual_default_tau,,True,,"{""exact_mode"": true, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_asymmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 5, ""symmetric"": false}, ""max_layers"": 3, ""n_layers"": null, ""n_layers_effective"": 3, ""normalization_factor"": 99.91843539144207, ""normalize"": true, ""seed"": 5, ""tau"": 1.0, ""valid_route"": true}"
small_exact,evaluation,small_exact_random_asymmetric_n5_seed5,random_asymmetric,5,5,held_karp,ok,"[4, 3, 1, 2, 0]",124.6112168423868,124.6112168423868,124.6112168423868,0.0,0.0,True,True,True,3.479999941191636e-05,249.671875,249.671875,0.0,1.0,manual_default_tau,,,,"{""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_asymmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 5, ""symmetric"": false}, ""max_n"": 18, ""start"": 4}"
small_exact,evaluation,small_exact_random_asymmetric_n5_seed5,random_asymmetric,5,5,bruteforce,ok,"[4, 3, 1, 2, 0]",124.6112168423868,124.6112168423868,124.6112168423868,0.0,0.0,True,True,True,6.290000237640925e-05,249.671875,249.671875,0.0,1.0,manual_default_tau,,,,"{""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_asymmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 5, ""symmetric"": false}, ""max_n"": 10, ""permutations_checked"": 24, ""start"": 4}"
small_exact,evaluation,small_exact_random_asymmetric_n5_seed5,random_asymmetric,5,5,ortools,ok,"[4, 3, 1, 2, 0]",124.6112168423868,124.6112168423868,124.6112168423868,0.0,0.0,True,True,True,0.0009879999997792765,249.671875,249.90234375,0.23046875,1.0,manual_default_tau,,,5.0,"{""finite_edges"": true, ""infinity_penalty"": 499592175000, ""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_asymmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 5, ""symmetric"": false}, ""integer_scale"": 1000000, ""start"": 4, ""time_limit_s"": 5.0, ""valid_route"": true}"
small_exact,evaluation,small_exact_random_asymmetric_n5_seed5,random_asymmetric,5,5,networkx_christofides,skipped_not_applicable,,,124.6112168423868,124.6112168423868,nan,nan,True,,,6.750000102329068e-05,249.90625,249.90625,0.0,1.0,manual_default_tau,,,,"{""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_asymmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 5, ""symmetric"": false}, ""requires_metric_symmetric_complete"": true}"
small_exact,evaluation,small_exact_random_asymmetric_n5_seed5,random_asymmetric,5,5,networkx_greedy,ok,"[4, 3, 1, 2, 0]",124.6112168423868,124.6112168423868,124.6112168423868,0.0,0.0,True,True,True,0.00023320000036619604,249.90625,249.91015625,0.00390625,1.0,manual_default_tau,,,,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_asymmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 5, ""symmetric"": false}, ""valid_route"": true}"
small_exact,evaluation,small_exact_random_asymmetric_n5_seed5,random_asymmetric,5,5,python_tsp_dynamic_programming,skipped_missing_dependency,,,124.6112168423868,124.6112168423868,nan,nan,True,,,0.0005773000011686236,249.91015625,249.9140625,0.00390625,1.0,manual_default_tau,,,,"{""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_asymmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 5, ""symmetric"": false}}"
small_exact,evaluation,small_exact_euclidean_n5_seed6,euclidean,5,6,tn_exact,ok,"[4, 3, 2, 1, 0]",1746.7064219476554,1739.5673976664866,1739.5673976664866,0.004103907839814245,0.004103907839814245,True,True,True,0.007488499999453779,249.9140625,249.9765625,0.0625,1.0,manual_default_tau,,True,,"{""exact_mode"": true, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[538.1643514719432, 343.27086981333844], [369.06723979537827, 374.49676558788235], [987.4449901864666, 632.7562726071461], [674.3239305044935, 329.96345538545836], [679.9176611640223, 122.97237488719004]], ""scale"": 1000.0, ""seed"": 6, ""symmetric"": true}, ""max_layers"": 3, ""n_layers"": null, ""n_layers_effective"": 3, ""normalization_factor"": 670.1410412327962, ""normalize"": true, ""seed"": 6, ""tau"": 1.0, ""valid_route"": true}"
small_exact,evaluation,small_exact_euclidean_n5_seed6,euclidean,5,6,held_karp,ok,"[4, 2, 3, 0, 1]",1739.5673976664866,1739.5673976664866,1739.5673976664866,0.0,0.0,True,True,True,3.4500000765547156e-05,249.9765625,249.9765625,0.0,1.0,manual_default_tau,,,,"{""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[538.1643514719432, 343.27086981333844], [369.06723979537827, 374.49676558788235], [987.4449901864666, 632.7562726071461], [674.3239305044935, 329.96345538545836], [679.9176611640223, 122.97237488719004]], ""scale"": 1000.0, ""seed"": 6, ""symmetric"": true}, ""max_n"": 18, ""start"": 4}"
small_exact,evaluation,small_exact_euclidean_n5_seed6,euclidean,5,6,bruteforce,ok,"[4, 1, 0, 3, 2]",1739.5673976664866,1739.5673976664866,1739.5673976664866,0.0,0.0,True,True,True,6.500000017695129e-05,249.9765625,249.9765625,0.0,1.0,manual_default_tau,,,,"{""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[538.1643514719432, 343.27086981333844], [369.06723979537827, 374.49676558788235], [987.4449901864666, 632.7562726071461], [674.3239305044935, 329.96345538545836], [679.9176611640223, 122.97237488719004]], ""scale"": 1000.0, ""seed"": 6, ""symmetric"": true}, ""max_n"": 10, ""permutations_checked"": 24, ""start"": 4}"
small_exact,evaluation,small_exact_euclidean_n5_seed6,euclidean,5,6,ortools,ok,"[4, 1, 0, 3, 2]",1739.5673976664866,1739.5673976664866,1739.5673976664866,0.0,0.0,True,True,True,0.0010575000014796387,249.9765625,250.4375,0.4609375,1.0,manual_default_tau,,,5.0,"{""finite_edges"": true, ""infinity_penalty"": 3350705205000, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[538.1643514719432, 343.27086981333844], [369.06723979537827, 374.49676558788235], [987.4449901864666, 632.7562726071461], [674.3239305044935, 329.96345538545836], [679.9176611640223, 122.97237488719004]], ""scale"": 1000.0, ""seed"": 6, ""symmetric"": true}, ""integer_scale"": 1000000, ""start"": 4, ""time_limit_s"": 5.0, ""valid_route"": true}"
small_exact,evaluation,small_exact_euclidean_n5_seed6,euclidean,5,6,networkx_christofides,ok,"[4, 1, 0, 2, 3]",1748.9333554208445,1739.5673976664866,1739.5673976664866,0.0053840729407332285,0.0053840729407332285,True,True,True,0.0006830999991507269,250.4375,250.4453125,0.0078125,1.0,manual_default_tau,,,,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[538.1643514719432, 343.27086981333844], [369.06723979537827, 374.49676558788235], [987.4449901864666, 632.7562726071461], [674.3239305044935, 329.96345538545836], [679.9176611640223, 122.97237488719004]], ""scale"": 1000.0, ""seed"": 6, ""symmetric"": true}, ""requires_metric_symmetric_complete"": true, ""valid_route"": true}"
small_exact,evaluation,small_exact_euclidean_n5_seed6,euclidean,5,6,networkx_greedy,ok,"[4, 2, 1, 0, 3]",1781.3313732308661,1739.5673976664866,1739.5673976664866,0.02400825378792629,0.02400825378792629,True,True,True,0.00012009999772999436,250.4453125,250.4453125,0.0,1.0,manual_default_tau,,,,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[538.1643514719432, 343.27086981333844], [369.06723979537827, 374.49676558788235], [987.4449901864666, 632.7562726071461], [674.3239305044935, 329.96345538545836], [679.9176611640223, 122.97237488719004]], ""scale"": 1000.0, ""seed"": 6, ""symmetric"": true}, ""valid_route"": true}"
small_exact,evaluation,small_exact_euclidean_n5_seed6,euclidean,5,6,python_tsp_dynamic_programming,skipped_missing_dependency,,,1739.5673976664866,1739.5673976664866,nan,nan,True,,,0.0005464999994728714,250.4453125,250.4453125,0.0,1.0,manual_default_tau,,,,"{""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[538.1643514719432, 343.27086981333844], [369.06723979537827, 374.49676558788235], [987.4449901864666, 632.7562726071461], [674.3239305044935, 329.96345538545836], [679.9176611640223, 122.97237488719004]], ""scale"": 1000.0, ""seed"": 6, ""symmetric"": true}}"
small_exact,evaluation,small_exact_random_symmetric_n5_seed6,random_symmetric,5,6,tn_exact,ok,"[4, 1, 3, 0, 2]",181.57142342122316,181.57142342122316,181.57142342122316,0.0,0.0,True,True,True,0.007706399999733549,250.44921875,250.5390625,0.08984375,1.0,manual_default_tau,,True,,"{""exact_mode"": true, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_symmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 6, ""symmetric"": true}, ""max_layers"": 3, ""n_layers"": null, ""n_layers_effective"": 3, ""normalization_factor"": 80.93818973253225, ""normalize"": true, ""seed"": 6, ""tau"": 1.0, ""valid_route"": true}"
small_exact,evaluation,small_exact_random_symmetric_n5_seed6,random_symmetric,5,6,held_karp,ok,"[4, 2, 0, 3, 1]",181.57142342122316,181.57142342122316,181.57142342122316,0.0,0.0,True,True,True,3.849999848171137e-05,250.5390625,250.5390625,0.0,1.0,manual_default_tau,,,,"{""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_symmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 6, ""symmetric"": true}, ""max_n"": 18, ""start"": 4}"
small_exact,evaluation,small_exact_random_symmetric_n5_seed6,random_symmetric,5,6,bruteforce,ok,"[4, 1, 3, 0, 2]",181.57142342122316,181.57142342122316,181.57142342122316,0.0,0.0,True,True,True,6.710000161547214e-05,250.5390625,250.5390625,0.0,1.0,manual_default_tau,,,,"{""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_symmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 6, ""symmetric"": true}, ""max_n"": 10, ""permutations_checked"": 24, ""start"": 4}"
small_exact,evaluation,small_exact_random_symmetric_n5_seed6,random_symmetric,5,6,ortools,ok,"[4, 1, 3, 0, 2]",181.57142342122316,181.57142342122316,181.57142342122316,0.0,0.0,True,True,True,0.0010035999985120725,250.5390625,250.5390625,0.0,1.0,manual_default_tau,,,5.0,"{""finite_edges"": true, ""infinity_penalty"": 404690950000, ""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_symmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 6, ""symmetric"": true}, ""integer_scale"": 1000000, ""start"": 4, ""time_limit_s"": 5.0, ""valid_route"": true}"
small_exact,evaluation,small_exact_random_symmetric_n5_seed6,random_symmetric,5,6,networkx_christofides,skipped_not_applicable,,,181.57142342122316,181.57142342122316,nan,nan,True,,,7.569999797851779e-05,250.5390625,250.5390625,0.0,1.0,manual_default_tau,,,,"{""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_symmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 6, ""symmetric"": true}, ""requires_metric_symmetric_complete"": true}"
small_exact,evaluation,small_exact_random_symmetric_n5_seed6,random_symmetric,5,6,networkx_greedy,ok,"[4, 1, 3, 0, 2]",181.57142342122316,181.57142342122316,181.57142342122316,0.0,0.0,True,True,True,0.00010479999764356762,250.5390625,250.5390625,0.0,1.0,manual_default_tau,,,,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_symmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 6, ""symmetric"": true}, ""valid_route"": true}"
small_exact,evaluation,small_exact_random_symmetric_n5_seed6,random_symmetric,5,6,python_tsp_dynamic_programming,skipped_missing_dependency,,,181.57142342122316,181.57142342122316,nan,nan,True,,,0.0005286000014166348,250.5390625,250.54296875,0.00390625,1.0,manual_default_tau,,,,"{""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_symmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 6, ""symmetric"": true}}"
small_exact,evaluation,small_exact_random_asymmetric_n5_seed6,random_asymmetric,5,6,tn_exact,ok,"[4, 2, 0, 3, 1]",82.57819963578314,82.57819963578314,82.57819963578314,0.0,0.0,True,True,True,0.00801349999892409,250.54296875,250.61328125,0.0703125,1.0,manual_default_tau,,True,,"{""exact_mode"": true, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_asymmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 6, ""symmetric"": false}, ""max_layers"": 3, ""n_layers"": null, ""n_layers_effective"": 3, ""normalization_factor"": 98.75705402846019, ""normalize"": true, ""seed"": 6, ""tau"": 1.0, ""valid_route"": true}"
small_exact,evaluation,small_exact_random_asymmetric_n5_seed6,random_asymmetric,5,6,held_karp,ok,"[4, 2, 0, 3, 1]",82.57819963578314,82.57819963578314,82.57819963578314,0.0,0.0,True,True,True,4.569999873638153e-05,250.61328125,250.61328125,0.0,1.0,manual_default_tau,,,,"{""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_asymmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 6, ""symmetric"": false}, ""max_n"": 18, ""start"": 4}"
small_exact,evaluation,small_exact_random_asymmetric_n5_seed6,random_asymmetric,5,6,bruteforce,ok,"[4, 2, 0, 3, 1]",82.57819963578314,82.57819963578314,82.57819963578314,0.0,0.0,True,True,True,6.550000034621917e-05,250.61328125,250.61328125,0.0,1.0,manual_default_tau,,,,"{""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_asymmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 6, ""symmetric"": false}, ""max_n"": 10, ""permutations_checked"": 24, ""start"": 4}"
small_exact,evaluation,small_exact_random_asymmetric_n5_seed6,random_asymmetric,5,6,ortools,ok,"[4, 2, 0, 3, 1]",82.57819963578314,82.57819963578314,82.57819963578314,0.0,0.0,True,True,True,0.0012535000023490284,250.61328125,250.61328125,0.0,1.0,manual_default_tau,,,5.0,"{""finite_edges"": true, ""infinity_penalty"": 493785270000, ""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_asymmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 6, ""symmetric"": false}, ""integer_scale"": 1000000, ""start"": 4, ""time_limit_s"": 5.0, ""valid_route"": true}"
small_exact,evaluation,small_exact_random_asymmetric_n5_seed6,random_asymmetric,5,6,networkx_christofides,skipped_not_applicable,,,82.57819963578314,82.57819963578314,nan,nan,True,,,8.35999999253545e-05,250.61328125,250.61328125,0.0,1.0,manual_default_tau,,,,"{""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_asymmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 6, ""symmetric"": false}, ""requires_metric_symmetric_complete"": true}"
small_exact,evaluation,small_exact_random_asymmetric_n5_seed6,random_asymmetric,5,6,networkx_greedy,ok,"[4, 1, 2, 0, 3]",134.78569967888797,82.57819963578314,82.57819963578314,0.6322189182298672,0.6322189182298672,True,True,True,0.00010560000009718351,250.61328125,250.61328125,0.0,1.0,manual_default_tau,,,,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_asymmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 6, ""symmetric"": false}, ""valid_route"": true}"
small_exact,evaluation,small_exact_random_asymmetric_n5_seed6,random_asymmetric,5,6,python_tsp_dynamic_programming,skipped_missing_dependency,,,82.57819963578314,82.57819963578314,nan,nan,True,,,0.000562299999728566,250.61328125,250.61328125,0.0,1.0,manual_default_tau,,,,"{""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_asymmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 6, ""symmetric"": false}}"
small_exact,evaluation,small_exact_euclidean_n5_seed7,euclidean,5,7,tn_exact,ok,"[4, 1, 0, 2, 3]",2424.6840318796394,2305.4673776306468,2305.4673776306468,0.051710406057236376,0.051710406057236376,True,True,True,0.008596100000431761,250.61328125,250.6171875,0.00390625,1.0,manual_default_tau,,True,,"{""exact_mode"": true, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[625.095466604667, 897.2138009695755], [775.6856902451935, 225.20718999059187], [300.16628491122543, 873.5534453962618], [5.265304565574724, 821.2284183827662], [797.0694287520462, 467.9349528437208]], ""scale"": 1000.0, ""seed"": 7, ""symmetric"": true}, ""max_layers"": 3, ""n_layers"": null, ""n_layers_effective"": 3, ""normalization_factor"": 974.0579425089911, ""normalize"": true, ""seed"": 7, ""tau"": 1.0, ""valid_route"": true}"
small_exact,evaluation,small_exact_euclidean_n5_seed7,euclidean,5,7,held_karp,ok,"[4, 1, 3, 2, 0]",2305.4673776306468,2305.4673776306468,2305.4673776306468,0.0,0.0,True,True,True,4.27999984822236e-05,250.6171875,250.6171875,0.0,1.0,manual_default_tau,,,,"{""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[625.095466604667, 897.2138009695755], [775.6856902451935, 225.20718999059187], [300.16628491122543, 873.5534453962618], [5.265304565574724, 821.2284183827662], [797.0694287520462, 467.9349528437208]], ""scale"": 1000.0, ""seed"": 7, ""symmetric"": true}, ""max_n"": 18, ""start"": 4}"
small_exact,evaluation,small_exact_euclidean_n5_seed7,euclidean,5,7,bruteforce,ok,"[4, 0, 2, 3, 1]",2305.4673776306468,2305.4673776306468,2305.4673776306468,0.0,0.0,True,True,True,7.040000127744861e-05,250.6171875,250.6171875,0.0,1.0,manual_default_tau,,,,"{""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[625.095466604667, 897.2138009695755], [775.6856902451935, 225.20718999059187], [300.16628491122543, 873.5534453962618], [5.265304565574724, 821.2284183827662], [797.0694287520462, 467.9349528437208]], ""scale"": 1000.0, ""seed"": 7, ""symmetric"": true}, ""max_n"": 10, ""permutations_checked"": 24, ""start"": 4}"
