experiment,split,instance_type,n,seed,repeat,layer_seed,layer_ratio,n_layers_requested,n_layers_effective,max_layers,exact_mode,tau,tau_source,route,valid_route,finite_edges,cost,optimum_cost,best_known_cost,relative_gap,gap_to_best_known,exact_optimum_available,runtime_s,status,metadata_json
layer_ablation,evaluation,euclidean,8,5,0,500000,0.0,0,0,6,False,14.6,calibrated_on_calibration_split,"[7, 0, 6, 4, 1, 5, 3, 2]",True,True,3650.948006978265,3064.6799756744094,3064.6799756744094,0.19129828757237272,0.19129828757237272,True,0.014923800001270138,ok,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 8, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714], [652.3691115879877, 234.51020166982394], [434.94755222514203, 974.1861932592553], [897.6776081085488, 844.231037608741]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""layer_ratio"": 0.0, ""max_layers"": 6, ""n_layers"": 0, ""n_layers_effective"": 0, ""n_layers_requested"": 0, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 500000, ""tau"": 14.6, ""valid_route"": true}"
layer_ablation,evaluation,euclidean,8,5,1,500001,0.0,0,0,6,False,14.6,calibrated_on_calibration_split,"[7, 0, 6, 4, 1, 5, 3, 2]",True,True,3650.948006978265,3064.6799756744094,3064.6799756744094,0.19129828757237272,0.19129828757237272,True,0.012747200002195314,ok,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 8, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714], [652.3691115879877, 234.51020166982394], [434.94755222514203, 974.1861932592553], [897.6776081085488, 844.231037608741]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""layer_ratio"": 0.0, ""max_layers"": 6, ""n_layers"": 0, ""n_layers_effective"": 0, ""n_layers_requested"": 0, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 500001, ""tau"": 14.6, ""valid_route"": true}"
layer_ablation,evaluation,euclidean,8,5,2,500002,0.0,0,0,6,False,14.6,calibrated_on_calibration_split,"[7, 0, 6, 4, 1, 5, 3, 2]",True,True,3650.948006978265,3064.6799756744094,3064.6799756744094,0.19129828757237272,0.19129828757237272,True,0.012484999999287538,ok,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 8, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714], [652.3691115879877, 234.51020166982394], [434.94755222514203, 974.1861932592553], [897.6776081085488, 844.231037608741]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""layer_ratio"": 0.0, ""max_layers"": 6, ""n_layers"": 0, ""n_layers_effective"": 0, ""n_layers_requested"": 0, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 500002, ""tau"": 14.6, ""valid_route"": true}"
layer_ablation,evaluation,euclidean,8,5,3,500003,0.0,0,0,6,False,14.6,calibrated_on_calibration_split,"[7, 0, 6, 4, 1, 5, 3, 2]",True,True,3650.948006978265,3064.6799756744094,3064.6799756744094,0.19129828757237272,0.19129828757237272,True,0.012644899998122128,ok,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 8, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714], [652.3691115879877, 234.51020166982394], [434.94755222514203, 974.1861932592553], [897.6776081085488, 844.231037608741]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""layer_ratio"": 0.0, ""max_layers"": 6, ""n_layers"": 0, ""n_layers_effective"": 0, ""n_layers_requested"": 0, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 500003, ""tau"": 14.6, ""valid_route"": true}"
layer_ablation,evaluation,euclidean,8,5,4,500004,0.0,0,0,6,False,14.6,calibrated_on_calibration_split,"[7, 0, 6, 4, 1, 5, 3, 2]",True,True,3650.948006978265,3064.6799756744094,3064.6799756744094,0.19129828757237272,0.19129828757237272,True,0.012577500001498265,ok,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 8, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714], [652.3691115879877, 234.51020166982394], [434.94755222514203, 974.1861932592553], [897.6776081085488, 844.231037608741]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""layer_ratio"": 0.0, ""max_layers"": 6, ""n_layers"": 0, ""n_layers_effective"": 0, ""n_layers_requested"": 0, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 500004, ""tau"": 14.6, ""valid_route"": true}"
layer_ablation,evaluation,euclidean,8,5,0,500000,0.1,1,1,6,False,14.6,calibrated_on_calibration_split,"[7, 0, 1, 2, 3, 4, 6, 5]",True,True,4492.798338898474,3064.6799756744094,3064.6799756744094,0.4659926565121354,0.4659926565121354,True,0.017320499999186723,ok,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 8, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714], [652.3691115879877, 234.51020166982394], [434.94755222514203, 974.1861932592553], [897.6776081085488, 844.231037608741]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""layer_ratio"": 0.1, ""max_layers"": 6, ""n_layers"": 1, ""n_layers_effective"": 1, ""n_layers_requested"": 1, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 500000, ""tau"": 14.6, ""valid_route"": true}"
layer_ablation,evaluation,euclidean,8,5,1,500001,0.1,1,1,6,False,14.6,calibrated_on_calibration_split,"[7, 0, 2, 3, 4, 1, 5, 6]",True,True,4722.003803235905,3064.6799756744094,3064.6799756744094,0.5407820198899519,0.5407820198899519,True,0.016883799999050098,ok,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 8, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714], [652.3691115879877, 234.51020166982394], [434.94755222514203, 974.1861932592553], [897.6776081085488, 844.231037608741]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""layer_ratio"": 0.1, ""max_layers"": 6, ""n_layers"": 1, ""n_layers_effective"": 1, ""n_layers_requested"": 1, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 500001, ""tau"": 14.6, ""valid_route"": true}"
layer_ablation,evaluation,euclidean,8,5,2,500002,0.1,1,1,6,False,14.6,calibrated_on_calibration_split,"[7, 0, 1, 4, 6, 3, 2, 5]",True,True,4629.124796921696,3064.6799756744094,3064.6799756744094,0.5104757539661271,0.5104757539661271,True,0.017322899999271613,ok,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 8, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714], [652.3691115879877, 234.51020166982394], [434.94755222514203, 974.1861932592553], [897.6776081085488, 844.231037608741]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""layer_ratio"": 0.1, ""max_layers"": 6, ""n_layers"": 1, ""n_layers_effective"": 1, ""n_layers_requested"": 1, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 500002, ""tau"": 14.6, ""valid_route"": true}"
layer_ablation,evaluation,euclidean,8,5,3,500003,0.1,1,1,6,False,14.6,calibrated_on_calibration_split,"[7, 0, 1, 4, 2, 3, 5, 6]",True,True,4215.075413750277,3064.6799756744094,3064.6799756744094,0.37537212603176073,0.37537212603176073,True,0.016847800001414726,ok,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 8, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714], [652.3691115879877, 234.51020166982394], [434.94755222514203, 974.1861932592553], [897.6776081085488, 844.231037608741]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""layer_ratio"": 0.1, ""max_layers"": 6, ""n_layers"": 1, ""n_layers_effective"": 1, ""n_layers_requested"": 1, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 500003, ""tau"": 14.6, ""valid_route"": true}"
layer_ablation,evaluation,euclidean,8,5,4,500004,0.1,1,1,6,False,14.6,calibrated_on_calibration_split,"[7, 0, 5, 3, 4, 6, 2, 1]",True,True,4259.495038204881,3064.6799756744094,3064.6799756744094,0.38986617591859396,0.38986617591859396,True,0.017132799999671988,ok,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 8, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714], [652.3691115879877, 234.51020166982394], [434.94755222514203, 974.1861932592553], [897.6776081085488, 844.231037608741]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""layer_ratio"": 0.1, ""max_layers"": 6, ""n_layers"": 1, ""n_layers_effective"": 1, ""n_layers_requested"": 1, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 500004, ""tau"": 14.6, ""valid_route"": true}"
layer_ablation,evaluation,euclidean,8,5,0,500000,0.25,2,2,6,False,14.6,calibrated_on_calibration_split,"[7, 0, 2, 3, 5, 1, 4, 6]",True,True,3627.2601687635797,3064.6799756744094,3064.6799756744094,0.18356898519734335,0.18356898519734335,True,0.021076799999718787,ok,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 8, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714], [652.3691115879877, 234.51020166982394], [434.94755222514203, 974.1861932592553], [897.6776081085488, 844.231037608741]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""layer_ratio"": 0.25, ""max_layers"": 6, ""n_layers"": 2, ""n_layers_effective"": 2, ""n_layers_requested"": 2, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 500000, ""tau"": 14.6, ""valid_route"": true}"
layer_ablation,evaluation,euclidean,8,5,1,500001,0.25,2,2,6,False,14.6,calibrated_on_calibration_split,"[7, 0, 6, 2, 3, 5, 1, 4]",True,True,3868.5094656224906,3064.6799756744094,3064.6799756744094,0.2622882311785887,0.2622882311785887,True,0.020948299999872688,ok,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 8, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714], [652.3691115879877, 234.51020166982394], [434.94755222514203, 974.1861932592553], [897.6776081085488, 844.231037608741]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""layer_ratio"": 0.25, ""max_layers"": 6, ""n_layers"": 2, ""n_layers_effective"": 2, ""n_layers_requested"": 2, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 500001, ""tau"": 14.6, ""valid_route"": true}"
layer_ablation,evaluation,euclidean,8,5,2,500002,0.25,2,2,6,False,14.6,calibrated_on_calibration_split,"[7, 0, 1, 5, 3, 2, 4, 6]",True,True,3125.02976260573,3064.6799756744094,3064.6799756744094,0.01969203551768567,0.01969203551768567,True,0.021065699998871423,ok,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 8, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714], [652.3691115879877, 234.51020166982394], [434.94755222514203, 974.1861932592553], [897.6776081085488, 844.231037608741]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""layer_ratio"": 0.25, ""max_layers"": 6, ""n_layers"": 2, ""n_layers_effective"": 2, ""n_layers_requested"": 2, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 500002, ""tau"": 14.6, ""valid_route"": true}"
layer_ablation,evaluation,euclidean,8,5,3,500003,0.25,2,2,6,False,14.6,calibrated_on_calibration_split,"[7, 0, 6, 4, 2, 3, 1, 5]",True,True,3064.6799756744094,3064.6799756744094,3064.6799756744094,0.0,0.0,True,0.021404600000096252,ok,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 8, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714], [652.3691115879877, 234.51020166982394], [434.94755222514203, 974.1861932592553], [897.6776081085488, 844.231037608741]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""layer_ratio"": 0.25, ""max_layers"": 6, ""n_layers"": 2, ""n_layers_effective"": 2, ""n_layers_requested"": 2, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 500003, ""tau"": 14.6, ""valid_route"": true}"
layer_ablation,evaluation,euclidean,8,5,4,500004,0.25,2,2,6,False,14.6,calibrated_on_calibration_split,"[7, 0, 5, 1, 3, 2, 4, 6]",True,True,3075.8081127524442,3064.6799756744094,3064.6799756744094,0.003631092696909064,0.003631092696909064,True,0.021667400000296766,ok,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 8, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714], [652.3691115879877, 234.51020166982394], [434.94755222514203, 974.1861932592553], [897.6776081085488, 844.231037608741]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""layer_ratio"": 0.25, ""max_layers"": 6, ""n_layers"": 2, ""n_layers_effective"": 2, ""n_layers_requested"": 2, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 500004, ""tau"": 14.6, ""valid_route"": true}"
layer_ablation,evaluation,euclidean,8,5,0,500000,0.5,3,3,6,False,14.6,calibrated_on_calibration_split,"[7, 0, 6, 4, 2, 3, 1, 5]",True,True,3064.6799756744094,3064.6799756744094,3064.6799756744094,0.0,0.0,True,0.024917700000514742,ok,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 8, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714], [652.3691115879877, 234.51020166982394], [434.94755222514203, 974.1861932592553], [897.6776081085488, 844.231037608741]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""layer_ratio"": 0.5, ""max_layers"": 6, ""n_layers"": 3, ""n_layers_effective"": 3, ""n_layers_requested"": 3, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 500000, ""tau"": 14.6, ""valid_route"": true}"
layer_ablation,evaluation,euclidean,8,5,1,500001,0.5,3,3,6,False,14.6,calibrated_on_calibration_split,"[7, 0, 5, 1, 3, 2, 4, 6]",True,True,3075.8081127524442,3064.6799756744094,3064.6799756744094,0.003631092696909064,0.003631092696909064,True,0.024930999999924097,ok,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 8, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714], [652.3691115879877, 234.51020166982394], [434.94755222514203, 974.1861932592553], [897.6776081085488, 844.231037608741]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""layer_ratio"": 0.5, ""max_layers"": 6, ""n_layers"": 3, ""n_layers_effective"": 3, ""n_layers_requested"": 3, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 500001, ""tau"": 14.6, ""valid_route"": true}"
layer_ablation,evaluation,euclidean,8,5,2,500002,0.5,3,3,6,False,14.6,calibrated_on_calibration_split,"[7, 0, 6, 4, 2, 3, 1, 5]",True,True,3064.6799756744094,3064.6799756744094,3064.6799756744094,0.0,0.0,True,0.024711299996852176,ok,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 8, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714], [652.3691115879877, 234.51020166982394], [434.94755222514203, 974.1861932592553], [897.6776081085488, 844.231037608741]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""layer_ratio"": 0.5, ""max_layers"": 6, ""n_layers"": 3, ""n_layers_effective"": 3, ""n_layers_requested"": 3, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 500002, ""tau"": 14.6, ""valid_route"": true}"
layer_ablation,evaluation,euclidean,8,5,3,500003,0.5,3,3,6,False,14.6,calibrated_on_calibration_split,"[7, 0, 6, 4, 2, 3, 1, 5]",True,True,3064.6799756744094,3064.6799756744094,3064.6799756744094,0.0,0.0,True,0.02471499999955995,ok,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 8, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714], [652.3691115879877, 234.51020166982394], [434.94755222514203, 974.1861932592553], [897.6776081085488, 844.231037608741]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""layer_ratio"": 0.5, ""max_layers"": 6, ""n_layers"": 3, ""n_layers_effective"": 3, ""n_layers_requested"": 3, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 500003, ""tau"": 14.6, ""valid_route"": true}"
layer_ablation,evaluation,euclidean,8,5,4,500004,0.5,3,3,6,False,14.6,calibrated_on_calibration_split,"[7, 0, 6, 2, 4, 3, 1, 5]",True,True,3910.269431820357,3064.6799756744094,3064.6799756744094,0.2759144389814693,0.2759144389814693,True,0.025063900000532158,ok,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 8, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714], [652.3691115879877, 234.51020166982394], [434.94755222514203, 974.1861932592553], [897.6776081085488, 844.231037608741]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""layer_ratio"": 0.5, ""max_layers"": 6, ""n_layers"": 3, ""n_layers_effective"": 3, ""n_layers_requested"": 3, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 500004, ""tau"": 14.6, ""valid_route"": true}"
layer_ablation,evaluation,euclidean,8,5,0,500000,0.75,4,4,6,False,14.6,calibrated_on_calibration_split,"[7, 0, 6, 4, 2, 3, 1, 5]",True,True,3064.6799756744094,3064.6799756744094,3064.6799756744094,0.0,0.0,True,0.02730900000096881,ok,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 8, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714], [652.3691115879877, 234.51020166982394], [434.94755222514203, 974.1861932592553], [897.6776081085488, 844.231037608741]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""layer_ratio"": 0.75, ""max_layers"": 6, ""n_layers"": 4, ""n_layers_effective"": 4, ""n_layers_requested"": 4, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 500000, ""tau"": 14.6, ""valid_route"": true}"
layer_ablation,evaluation,euclidean,8,5,1,500001,0.75,4,4,6,False,14.6,calibrated_on_calibration_split,"[7, 0, 6, 4, 2, 3, 1, 5]",True,True,3064.6799756744094,3064.6799756744094,3064.6799756744094,0.0,0.0,True,0.028727000000799308,ok,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 8, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714], [652.3691115879877, 234.51020166982394], [434.94755222514203, 974.1861932592553], [897.6776081085488, 844.231037608741]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""layer_ratio"": 0.75, ""max_layers"": 6, ""n_layers"": 4, ""n_layers_effective"": 4, ""n_layers_requested"": 4, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 500001, ""tau"": 14.6, ""valid_route"": true}"
layer_ablation,evaluation,euclidean,8,5,2,500002,0.75,4,4,6,False,14.6,calibrated_on_calibration_split,"[7, 0, 6, 4, 2, 3, 1, 5]",True,True,3064.6799756744094,3064.6799756744094,3064.6799756744094,0.0,0.0,True,0.02803940000012517,ok,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 8, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714], [652.3691115879877, 234.51020166982394], [434.94755222514203, 974.1861932592553], [897.6776081085488, 844.231037608741]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""layer_ratio"": 0.75, ""max_layers"": 6, ""n_layers"": 4, ""n_layers_effective"": 4, ""n_layers_requested"": 4, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 500002, ""tau"": 14.6, ""valid_route"": true}"
layer_ablation,evaluation,euclidean,8,5,3,500003,0.75,4,4,6,False,14.6,calibrated_on_calibration_split,"[7, 0, 6, 4, 2, 3, 1, 5]",True,True,3064.6799756744094,3064.6799756744094,3064.6799756744094,0.0,0.0,True,0.028608900000108406,ok,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 8, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714], [652.3691115879877, 234.51020166982394], [434.94755222514203, 974.1861932592553], [897.6776081085488, 844.231037608741]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""layer_ratio"": 0.75, ""max_layers"": 6, ""n_layers"": 4, ""n_layers_effective"": 4, ""n_layers_requested"": 4, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 500003, ""tau"": 14.6, ""valid_route"": true}"
layer_ablation,evaluation,euclidean,8,5,4,500004,0.75,4,4,6,False,14.6,calibrated_on_calibration_split,"[7, 0, 6, 4, 2, 3, 1, 5]",True,True,3064.6799756744094,3064.6799756744094,3064.6799756744094,0.0,0.0,True,0.028817499998694984,ok,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 8, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714], [652.3691115879877, 234.51020166982394], [434.94755222514203, 974.1861932592553], [897.6776081085488, 844.231037608741]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""layer_ratio"": 0.75, ""max_layers"": 6, ""n_layers"": 4, ""n_layers_effective"": 4, ""n_layers_requested"": 4, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 500004, ""tau"": 14.6, ""valid_route"": true}"
layer_ablation,evaluation,euclidean,8,5,0,500000,1.0,,6,6,True,14.6,calibrated_on_calibration_split,"[7, 0, 6, 4, 2, 3, 1, 5]",True,True,3064.6799756744094,3064.6799756744094,3064.6799756744094,0.0,0.0,True,0.03234179999708431,ok,"{""exact_mode"": true, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 8, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714], [652.3691115879877, 234.51020166982394], [434.94755222514203, 974.1861932592553], [897.6776081085488, 844.231037608741]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""layer_ratio"": 1.0, ""max_layers"": 6, ""n_layers"": null, ""n_layers_effective"": 6, ""n_layers_requested"": null, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 500000, ""tau"": 14.6, ""valid_route"": true}"
layer_ablation,evaluation,euclidean,8,5,1,500001,1.0,,6,6,True,14.6,calibrated_on_calibration_split,"[7, 0, 6, 4, 2, 3, 1, 5]",True,True,3064.6799756744094,3064.6799756744094,3064.6799756744094,0.0,0.0,True,0.03297080000265851,ok,"{""exact_mode"": true, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 8, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714], [652.3691115879877, 234.51020166982394], [434.94755222514203, 974.1861932592553], [897.6776081085488, 844.231037608741]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""layer_ratio"": 1.0, ""max_layers"": 6, ""n_layers"": null, ""n_layers_effective"": 6, ""n_layers_requested"": null, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 500001, ""tau"": 14.6, ""valid_route"": true}"
